10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | The target for today is: Berlin
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Berlin is 1000 miles away
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | The bombing target is for: City
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | The bomber is: Middle position
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | The bomber is: Middle of the squadron
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | The plane is 900 miles away from Berlin
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Takeoff weather condition is: Poor
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Low
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Navigator is targeting: Me 101 1:30 o'clock Low
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Ball is targeting: Me 101 1:30 o'clock Low
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Navigator is shooting: Me 101
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Navigator: Missed
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Ball is shooting: Me 101
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Ball shot down: Me 101
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Flak misses!
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Pilot was damaged
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Nose was damaged
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Tail was damaged
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Tail was damaged
10/10/2020 07:42 PM | INFO       | Strike-from-the-skies | Nose was damaged
