10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port is targeting: Me 109 10:30 o'clock High
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Bombardier is targeting: Fw 190 12:00 o'clock Level
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer is targeting: Fw 190 12:00 o'clock Level
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Bombardier is shooting: Fw 190
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Bombardier: Missed
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Navigator is shooting: Me 109
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Navigator: Missed
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer is shooting: Fw 190
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Engineer: Missed
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Ball is shooting: Me 101
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Ball shot down: Me 101
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port is shooting: Me 109
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port: Missed
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 attacks and misses!
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Me 109 attacks and hits!
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Me 109 attacks and misses!
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Fw 190 attacks and hits!
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Flak misses!
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port was damaged
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Port was damaged
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Starboard was damaged
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Starboard was damaged
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | Tail was damaged
10/06/2020 12:44 AM | INFO       | Strike-from-the-skies | The plane is 100 miles away from Berlin
