10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 10:30 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 3:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is 500 miles away from 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Poor
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 10:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 10:30 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 6:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 10:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 9:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is 400 miles away from 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 10:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 10:30 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 6:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 6:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is 300 miles away from 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 10:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 6:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 9:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is 200 miles away from 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is 100 miles away from 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Poor
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 10:30 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The plane is over the target: 8th Airfoce
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | The weather changed into: Bad
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 12:00 o'clock Low
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Fw 190 comes into view 12:00 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 101 comes into view 1:30 o'clock Level
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 9:00 o'clock High
10/05/2020 10:46 PM | INFO       | Strike-from-the-skies | Me 109 comes into view 1:30 o'clock Low
